sheet,best_model,rank,feature,predicted_value,last_value,delta,interval_lower,interval_upper
培养皿1,persistence,1,1,19.337017,19.337017,-0.0,19.243804,19.42578
培养皿1,persistence,2,2,15.993021,15.993021,-0.0,15.924992,16.066742
培养皿1,persistence,3,3,12.678104,12.678104,-0.0,12.618868,12.750419
培养皿1,persistence,4,4,10.29369,10.29369,-0.0,10.244937,10.35017
培养皿1,persistence,5,5,8.810701,8.810701,-0.0,8.768687,8.85636
培养皿1,persistence,6,6,7.327712,7.327712,-0.0,7.305645,7.366942
培养皿1,persistence,7,7,5.437627,5.437627,-0.0,5.402832,5.467686
培养皿1,persistence,8,8,4.681593,4.681593,-0.0,4.658467,4.680234
培养皿1,persistence,9,9,4.303577,4.303577,0.0,4.280586,4.303577
培养皿1,persistence,10,10,2.820587,2.820587,-0.0,2.799043,2.819746
培养皿1,persistence,11,11,2.12271,2.12271,-0.0,2.109008,2.122091
培养皿1,persistence,12,12,1.948241,1.948241,-0.0,1.94202,1.947664
培养皿1,persistence,13,13,1.250363,1.250363,-0.0,1.247508,1.250363
培养皿1,persistence,14,14,0.872347,0.872347,-0.0,0.863557,0.872073
培养皿1,persistence,15,15,0.756034,0.756034,-0.0,0.753332,0.755813
培养皿1,persistence,16,16,0.610643,0.610643,-0.0,0.609005,0.610463
培养皿1,persistence,17,17,0.232626,0.232626,-0.0,0.232442,0.232626
培养皿1,persistence,18,21,0.145391,0.145391,-0.0,0.145329,0.145391
培养皿1,persistence,19,18,0.116313,0.116313,-0.0,0.112537,0.116277
培养皿1,persistence,20,19,0.116313,0.116313,-0.0,0.115524,0.116313
培养皿1,persistence,21,20,0.058156,0.058156,-0.0,0.058074,0.058156
培养皿1,persistence,22,22,0.058156,0.058156,-0.0,0.058118,0.058156
培养皿1,persistence,23,24,0.029078,0.029078,-0.0,0.029024,0.029078
培养皿2,persistence,1,6,8.868857,8.868857,0.0,8.818966,8.917684
培养皿2,persistence,2,5,8.723466,8.723466,0.0,8.689204,8.765999
培养皿2,persistence,3,7,8.229136,8.229136,0.0,8.183019,8.273503
培养皿2,persistence,4,8,7.792963,7.792963,0.0,7.763716,7.830229
培养皿2,persistence,5,4,7.153242,7.153242,0.0,7.110378,7.192347
培养皿2,persistence,6,9,6.920616,6.920616,0.0,6.893098,6.958336
培养皿2,persistence,7,3,6.251817,6.251817,0.0,6.229665,6.286947
培养皿2,persistence,8,11,5.990113,5.990113,0.0,5.945625,6.023269
培养皿2,persistence,9,10,5.844722,5.844722,0.0,5.812915,5.876639
培养皿2,persistence,10,2,5.379471,5.379471,0.0,5.35255,5.408269
培养皿2,persistence,11,12,5.205001,5.205001,0.0,5.166895,5.233033
培养皿2,persistence,12,13,5.146845,5.146845,0.0,5.13811,5.17556
培养皿2,persistence,13,14,3.547543,3.547543,0.0,3.530698,3.546497
培养皿2,persistence,14,15,2.995057,2.995057,0.0,2.980368,2.994158
培养皿2,persistence,15,1,2.907822,2.907822,0.0,2.890691,2.906978
培养皿2,persistence,16,16,2.355336,2.355336,0.0,2.334329,2.354626
培养皿2,persistence,17,17,2.064554,2.064554,0.0,2.061316,2.064554
培养皿2,persistence,18,18,1.395755,1.395755,0.0,1.380194,1.395338
培养皿2,persistence,19,19,1.046816,1.046816,0.0,1.041744,1.046509
培养皿2,persistence,20,20,0.930503,0.930503,0.0,0.925931,0.930216
培养皿2,persistence,21,21,0.668799,0.668799,0.0,0.667577,0.668799
培养皿2,persistence,22,22,0.261704,0.261704,0.0,0.261502,0.261704
培养皿2,persistence,23,23,0.145391,0.145391,0.0,0.145102,0.145391
培养皿2,persistence,24,25,0.087235,0.087235,0.0,0.087123,0.087235
培养皿2,persistence,25,24,0.058156,0.058156,0.0,0.058074,0.058156
培养皿2,persistence,26,26,0.029078,0.029078,0.0,0.029005,0.029078
培养皿3,persistence,1,12,7.327712,7.327712,-0.0,7.287417,7.367949
培养皿3,persistence,2,11,6.891538,6.891538,-0.0,6.869108,6.927131
培养皿3,persistence,3,13,6.629834,6.629834,-0.0,6.60923,6.663953
培养皿3,persistence,4,9,6.600756,6.600756,-0.0,6.564368,6.636606
培养皿3,persistence,5,10,6.484443,6.484443,-0.0,6.466014,6.519212
培养皿3,persistence,6,15,6.222739,6.222739,-0.0,6.199842,6.254708
培养皿3,persistence,7,8,6.193661,6.193661,-0.0,6.162338,6.226586
培养皿3,persistence,8,14,6.04827,6.04827,-0.0,6.019087,6.08207
培养皿3,persistence,9,16,5.757488,5.757488,-0.0,5.726384,5.789353
培养皿3,persistence,10,7,5.088689,5.088689,-0.0,5.064613,5.116631
培养皿3,persistence,11,17,4.797906,4.797906,-0.0,4.764008,4.796505
培养皿3,persistence,12,6,4.594359,4.594359,-0.0,4.562192,4.593015
培养皿3,persistence,13,18,4.41989,4.41989,-0.0,4.391539,4.418602
培养皿3,persistence,14,5,3.983716,3.983716,-0.0,3.960465,3.98255
培养皿3,persistence,15,19,3.489386,3.489386,-0.0,3.468521,3.488371
培养皿3,persistence,16,20,3.11137,3.11137,-0.0,3.103888,3.11137
培养皿3,persistence,17,4,2.500727,2.500727,-0.0,2.48922,2.499977
培养皿3,persistence,18,21,2.064554,2.064554,-0.0,2.055141,2.063945
培养皿3,persistence,19,3,1.80285,1.80285,0.0,1.792438,1.802324
培养皿3,persistence,20,22,1.744693,1.744693,0.0,1.73556,1.744161
培养皿3,persistence,21,2,1.104972,1.104972,-0.0,1.098979,1.104663
培养皿3,persistence,22,23,1.075894,1.075894,-0.0,1.065391,1.075567
培养皿3,persistence,23,24,0.726956,0.726956,-0.0,0.722829,0.726731
培养皿3,persistence,24,25,0.639721,0.639721,-0.0,0.634836,0.639537
培养皿3,persistence,25,1,0.348939,0.348939,-0.0,0.34605,0.348835
培养皿3,persistence,26,26,0.232626,0.232626,-0.0,0.229801,0.232552
培养皿3,persistence,27,27,0.087235,0.087235,-0.0,0.087064,0.087235
培养皿3,persistence,28,28,0.029078,0.029078,-0.0,0.029064,0.029078
培养皿4,persistence,1,19,7.385868,7.385868,0.0,7.35074,7.425472
培养皿4,persistence,2,14,7.211399,7.211399,0.0,7.163152,7.248939
培养皿4,persistence,3,17,6.978773,6.978773,0.0,6.940052,7.019477
培养皿4,persistence,4,16,6.833382,6.833382,0.0,6.812842,6.868116
培养皿4,persistence,5,15,6.629834,6.629834,0.0,6.608462,6.664464
培养皿4,persistence,6,20,6.571678,6.571678,0.0,6.540271,6.606766
培养皿4,persistence,7,18,5.786566,5.786566,0.0,5.751103,5.818335
培养皿4,persistence,8,13,5.583018,5.583018,0.0,5.56065,5.613706
培养皿4,persistence,9,21,5.263158,5.263158,0.0,5.249728,5.292328
培养皿4,persistence,10,11,4.914219,4.914219,0.0,4.897464,4.912789
培养皿4,persistence,11,12,4.768828,4.768828,0.0,4.757712,4.768828
培养皿4,persistence,12,22,4.41989,4.41989,0.0,4.388697,4.418596
培养皿4,persistence,13,23,4.41989,4.41989,0.0,4.392906,4.4186
培养皿4,persistence,14,10,4.070951,4.070951,0.0,4.041018,4.069772
培养皿4,persistence,15,24,3.314917,3.314917,0.0,3.29923,3.313947
培养皿4,persistence,16,9,2.878744,2.878744,0.0,2.859178,2.877888
培养皿4,persistence,17,8,2.442571,2.442571,0.0,2.432106,2.44184
培养皿4,persistence,18,7,2.209945,2.209945,0.0,2.194708,2.209308
培养皿4,persistence,19,25,2.035475,2.035475,0.0,2.021666,2.034862
培养皿4,persistence,20,26,1.570224,1.570224,0.0,1.56629,1.569768
培养皿4,persistence,21,6,1.250363,1.250363,0.0,1.245104,1.250002
培养皿4,persistence,22,5,0.988659,0.988659,0.0,0.977672,0.988364
培养皿4,persistence,23,27,0.843268,0.843268,0.0,0.836861,0.843012
培养皿4,persistence,24,3,0.552486,0.552486,0.0,0.549839,0.552323
培养皿4,persistence,25,28,0.465252,0.465252,0.0,0.464908,0.465252
培养皿4,persistence,26,4,0.436173,0.436173,0.0,0.433384,0.436053
培养皿4,persistence,27,2,0.116313,0.116313,0.0,0.113358,0.116277
培养皿4,persistence,28,1,0.058156,0.058156,0.0,0.058142,0.058156
培养皿5,persistence,1,20,8.752544,8.752544,0.0,8.704645,8.799663
培养皿5,persistence,2,21,8.461762,8.461762,0.0,8.415155,8.506345
培养皿5,persistence,3,19,8.316371,8.316371,0.0,8.281882,8.360359
培养皿5,persistence,4,22,7.560337,7.560337,0.0,7.511611,7.602411
