step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,4,0,0,0,4,0,0.0,0.0,11.954809954133239,0,0.0,0.9461828464494318,0,0.0
10.0,7,0,0,0,7,0,0.0,0.0,11.675233572086912,0,0.0,0.9026000114784642,0,0.0
15.0,10,0,0,0,10,0,0.0,0.0,10.094626358285778,0,0.0,0.7787573478780451,0,0.0
20.0,14,0,0,0,14,0,0.0,0.0,10.16185579712828,0,0.0,0.800931644153667,0,0.0
25.0,21,0,0,1,22,0,0.0,0.0,12.254655987984806,0,0.0,0.9389177822371801,0,0.0
30.0,24,0,1,1,25,0,2.0,0.08333333333333333,11.164913287545625,1,2.0,0.8051806996016451,1,2.0
35.0,24,0,2,3,27,0,2.0,0.08333333333333333,7.795820626222674,2,2.0,0.49797533349841216,2,2.0
40.0,22,0,6,8,30,0,25.0,1.1363636363636365,8.037698232421786,6,25.0,0.42118808718122,6,25.0
45.0,22,0,9,11,33,0,63.0,2.8636363636363638,7.243881657352486,9,63.0,0.37212395483840166,9,63.0
50.0,22,0,5,14,36,0,28.0,1.2727272727272727,6.728852267281724,5,75.0,0.42688250182181087,5,75.0
55.0,20,0,1,18,38,0,1.0,0.05,7.049091631670405,1,33.0,0.38035264875807995,1,33.0
60.0,23,0,1,18,41,0,6.0,0.2608695652173913,11.126350053914594,1,6.0,0.6969244463512999,1,6.0
65.0,22,0,2,22,44,0,4.0,0.18181818181818182,8.992063315105428,2,4.0,0.4848477954654704,2,4.0
70.0,20,0,7,26,46,0,31.0,1.55,8.044746878980344,7,31.0,0.3983955539681701,7,31.0
75.0,16,0,7,31,47,0,66.0,4.125,5.286718298258305,7,66.0,0.19335337544683137,7,66.0
80.0,20,0,4,32,52,0,24.0,1.2,7.0838636031525155,4,74.0,0.42926131954918195,4,74.0
85.0,19,0,1,35,54,0,3.0,0.15789473684210525,8.875352372752952,1,29.0,0.545789607818621,1,29.0
90.0,23,0,1,35,58,0,8.0,0.34782608695652173,11.502560799972425,1,8.0,0.7678476227546421,1,8.0
95.0,22,0,2,38,60,0,2.0,0.09090909090909091,9.346510587025733,2,2.0,0.5625964755251971,2,2.0
100.0,17,0,5,44,61,0,21.0,1.2352941176470589,7.134706414756342,5,21.0,0.3903085026007158,5,21.0
105.0,18,0,7,47,65,0,52.0,2.888888888888889,7.069643829187331,7,52.0,0.4937961678912275,7,52.0
110.0,17,0,2,50,67,0,11.0,0.6470588235294118,7.07061837689496,2,51.0,0.5142013166989764,2,51.0
115.0,18,0,1,50,68,0,1.0,0.05555555555555555,8.158276563053654,1,12.0,0.4141606753225563,1,12.0
120.0,19,0,2,51,70,0,11.0,0.5789473684210527,10.87640331751466,2,11.0,0.5941910176845525,2,11.0
125.0,20,0,0,55,75,0,0.0,0.0,10.935037658540043,0,0.0,0.8369571176631141,0,0.0
130.0,21,0,2,60,81,0,8.0,0.38095238095238093,11.144267463228786,2,8.0,0.7805620144105295,2,8.0
135.0,20,0,5,64,84,0,22.0,1.1,8.839111109186625,5,22.0,0.5731231330333668,5,22.0
140.0,22,0,7,66,88,0,52.0,2.3636363636363638,7.340604044792934,7,52.0,0.41336250511884365,7,52.0
145.0,25,0,5,67,92,0,20.0,0.8,6.533072492301631,5,57.0,0.3743584346938371,5,57.0
150.0,25,0,1,70,95,0,4.0,0.16,7.887646080114664,1,33.0,0.4497234036489987,1,33.0
155.0,29,0,3,71,100,0,15.0,0.5172413793103449,10.001995764396293,3,19.0,0.5734521473988027,3,19.0
160.0,34,0,2,74,108,0,3.0,0.08823529411764706,9.063173147101393,2,12.0,0.5844409933247964,2,12.0
165.0,31,0,9,80,111,0,34.0,1.096774193548387,7.702114057984848,9,38.0,0.43559741714042205,9,38.0
170.0,31,0,13,83,114,0,89.0,2.870967741935484,5.6885352411397285,13,94.0,0.21237727228342804,13,94.0
