step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,3,0,0,0,3,0,0.0,0.0,13.229561438052555,0,0.0,0.9460667479509821,0,0.0
10.0,9,0,0,0,9,0,0.0,0.0,12.748709141346522,0,0.0,0.9276143792736763,0,0.0
15.0,15,0,0,0,15,0,0.0,0.0,10.438641269335383,0,0.0,0.7810506524588438,0,0.0
20.0,17,0,1,0,17,0,1.0,0.058823529411764705,6.6489940583777996,1,2.0,0.522939329325485,1,2.0
25.0,21,0,1,0,21,0,6.0,0.2857142857142857,8.675763872642658,1,6.0,0.5484941167545514,1,6.0
30.0,23,0,3,0,23,0,20.0,0.8695652173913043,10.35858496464935,3,20.0,0.5991438714679774,3,20.0
35.0,23,0,4,4,27,0,40.0,1.7391304347826086,9.521277825735915,4,40.0,0.5175625040271266,4,40.0
40.0,22,0,0,9,31,0,0.0,0.0,9.676687742836116,0,22.0,0.6858414725010789,0,22.0
45.0,20,0,3,12,32,0,7.0,0.35,8.505771373513522,3,7.0,0.47666864203618853,3,7.0
50.0,18,0,7,16,34,0,32.0,1.7777777777777777,5.947081996975358,7,32.0,0.2499530769009842,7,32.0
55.0,18,0,3,19,37,0,14.0,0.7777777777777778,6.554622919302456,3,43.0,0.4383684069238648,3,43.0
60.0,19,0,0,21,40,0,0.0,0.0,10.263525870082479,0,15.0,0.6848447992560511,0,15.0
65.0,19,0,0,22,41,0,0.0,0.0,11.687831724748259,0,0.0,0.846168662667907,0,0.0
70.0,20,0,1,26,46,0,1.0,0.05,11.310065278508514,1,1.0,0.8306529183609179,1,1.0
75.0,18,0,1,31,49,0,6.0,0.3333333333333333,11.553843248907485,1,6.0,0.8199930826883202,1,6.0
80.0,21,0,1,35,56,0,2.0,0.09523809523809523,10.581866707664325,1,2.0,0.7522834232963426,1,2.0
85.0,22,0,4,39,61,0,15.0,0.6818181818181818,8.840564311862751,4,15.0,0.5987557473043231,4,15.0
90.0,23,0,8,40,63,0,50.0,2.1739130434782608,7.511969519006152,8,50.0,0.3971374914127097,8,50.0
95.0,22,0,6,42,64,0,25.0,1.1363636363636365,4.861869579478319,6,62.0,0.17428311781872097,6,62.0
100.0,21,0,3,45,66,0,14.0,0.6666666666666666,7.249771697175923,3,39.0,0.32219619453783754,3,39.0
105.0,24,0,3,46,70,0,29.0,1.2083333333333333,10.24375846325343,3,32.0,0.5959832018703384,3,32.0
110.0,25,0,2,50,75,0,2.0,0.08,9.719337555323369,2,16.0,0.661845280488306,2,16.0
115.0,24,0,6,54,78,0,26.0,1.0833333333333333,8.397661518220742,6,29.0,0.43957569859904627,6,29.0
120.0,26,0,9,58,84,0,64.0,2.4615384615384617,7.738026706351908,9,67.0,0.43920800866637055,9,67.0
125.0,26,0,5,61,87,0,31.0,1.1923076923076923,6.454897242727493,5,79.0,0.39994593938994394,5,79.0
130.0,28,0,3,64,92,0,7.0,0.25,6.602549539068751,3,46.0,0.352730725030396,3,46.0
135.0,31,0,4,64,95,0,22.0,0.7096774193548387,8.642479659405476,4,27.0,0.4649898252832581,4,27.0
140.0,31,0,2,68,99,0,3.0,0.0967741935483871,8.108445149842659,2,20.0,0.4891190736069882,2,20.0
145.0,29,0,6,73,102,0,23.0,0.7931034482758621,7.260448724068315,6,28.0,0.3431689530468436,6,28.0
150.0,29,0,12,76,105,0,71.0,2.4482758620689653,6.655012785333804,12,76.0,0.2986677920640538,12,76.0
155.0,27,0,10,81,108,0,58.0,2.1481481481481484,4.604562249175214,10,106.0,0.2756475821566988,10,106.0
160.0,26,0,3,83,109,0,12.0,0.46153846153846156,5.884324413576968,3,87.0,0.28190945134129225,3,87.0
165.0,29,0,3,84,113,0,18.0,0.6206896551724138,8.35444140607796,3,46.0,0.43240927168013377,3,46.0
170.0,28,0,4,88,116,0,36.0,1.2857142857142858,8.904938939218846,4,44.0,0.5136162269016591,4,44.0
175.0,26,0,3,92,118,0,5.0,0.19230769230769232,7.914240082561804,3,29.0,0.43434027023326577,3,29.0
180.0,28,0,9,94,122,0,33.0,1.1785714285714286,6.936736289746463,9,41.0,0.2990764333075512,9,41.0
185.0,25,0,13,99,124,0,87.0,3.48,5.580492647138825,13,95.0,0.261384458859395,13,95.0
190.0,26,0,15,104,130,0,157.0,6.038461538461538,4.394538417258724,15,165.0,0.26902848471140467,15,165.0
195.0,30,0,13,105,135,0,126.0,4.2,4.238210974633663,13,197.0,0.26551218198376647,13,197.0
200.0,33,0,7,106,139,0,33.0,1.0,5.332078007088878,7,171.0,0.2888687075335157,7,171.0
205.0,41,0,5,106,147,0,17.0,0.4146341463414634,7.49317416627964,5,112.0,0.41427129404427865,5,112.0
210.0,41,0,2,109,150,0,5.0,0.12195121951219512,6.080613856492921,2,113.0,0.3375413658612229,2,113.0
215.0,40,0,7,114,154,0,31.0,0.775,6.194598878964997,7,135.0,0.30326240355585965,7,135.0
220.0,42,0,14,118,160,0,88.0,2.0952380952380953,5.38585178147526,14,192.0,0.22972856306999043,14,192.0
225.0,43,0,14,122,165,0,87.0,2.0232558139534884,4.152451537972032,14,216.0,0.18053956282609226,14,216.0
230.0,41,0,12,127,168,0,52.0,1.2682926829268293,4.208845106764556,12,192.0,0.1848183670597392,12,192.0
235.0,41,0,12,128,169,0,52.0,1.2682926829268293,5.504439108732623,12,160.0,0.20646205292866177,12,160.0
240.0,41,0,5,131,172,0,37.0,0.9024390243902439,6.878174495603569,5,159.0,0.3289668355620063,5,159.0
245.0,39,3,6,136,175,0,58.0,1.4871794871794872,8.045616092519518,6,137.0,0.447745620024063,6,137.0
250.0,38,0,2,142,180,0,2.0,0.05263157894736842,7.430407782280421,2,116.0,0.4712048455811995,2,116.0
255.0,36,0,7,145,181,0,26.0,0.7222222222222222,7.0835772237475,7,99.0,0.3529979534219501,7,99.0
260.0,34,0,13,151,185,0,81.0,2.3823529411764706,5.44679617336957,13,153.0,0.18961592801974023,13,153.0
265.0,32,0,14,155,187,0,85.0,2.65625,4.3586621700774995,14,189.0,0.17918885657124498,14,189.0
270.0,31,0,6,160,191,0,38.0,1.2258064516129032,5.688112674232554,6,165.0,0.309289354977884,6,165.0
275.0,33,0,4,161,194,0,7.0,0.21212121212121213,7.324895356317482,4,99.0,0.3375881487044993,4,99.0
280.0,32,0,2,164,196,0,13.0,0.40625,8.98889393415094,2,62.0,0.49393336613603567,2,62.0
285.0,29,0,0,169,198,0,0.0,0.0,8.126948876090836,0,45.0,0.5006275582015597,0,45.0
290.0,26,0,6,174,200,0,21.0,0.8076923076923077,5.921216537493128,6,63.0,0.23517564167742905,6,63.0
295.0,24,0,12,179,203,0,72.0,3.0,4.345068396557658,12,114.0,0.19840286551052616,12,114.0
300.0,24,0,17,182,206,0,147.0,6.125,3.992829211416647,17,189.0,0.2495038310576616,17,189.0
305.0,24,0,12,183,207,0,122.0,5.083333333333333,2.634812367667187,12,214.0,0.16214890058141337,12,214.0
310.0,27,0,7,183,210,0,34.0,1.2592592592592593,5.989198530766237,7,174.0,0.3157435273080652,7,174.0
315.0,33,0,5,183,216,0,37.0,1.121212121212121,8.452659784537307,5,106.0,0.4814599231731037,5,106.0
320.0,35,0,5,186,221,0,62.0,1.7714285714285714,9.415594404263345,5,79.0,0.5974481445260718,5,79.0
325.0,30,0,1,191,221,0,1.0,0.03333333333333333,7.004782058733353,1,49.0,0.3694148913850067,1,49.0
330.0,28,0,5,195,223,0,20.0,0.7142857142857143,6.874502527406274,5,26.0,0.2506350268276712,5,26.0
335.0,28,0,11,200,228,0,66.0,2.357142857142857,7.973613388115562,11,72.0,0.3552183321753079,11,72.0
340.0,27,0,6,206,233,0,43.0,1.5925925925925926,6.591963347033471,6,86.0,0.3739364199320989,6,86.0
345.0,25,0,0,210,235,0,0.0,0.0,6.949804801062344,0,56.0,0.3770983187289511,0,56.0
350.0,28,0,2,210,238,0,7.0,0.25,9.395144468418527,2,15.0,0.47839691370990994,2,15.0
355.0,31,0,2,214,245,0,3.0,0.0967741935483871,9.303904586128825,2,14.0,0.5590292077639161,2,14.0
360.0,29,0,8,218,247,0,31.0,1.0689655172413792,7.555081121618953,8,39.0,0.3438679745545532,8,39.0
365.0,28,0,13,222,250,0,86.0,3.0714285714285716,6.028709340660476,13,94.0,0.19509182464847838,13,94.0
370.0,28,0,10,226,254,0,74.0,2.642857142857143,5.401068402346629,10,127.0,0.2784824607359746,10,127.0
375.0,29,0,6,230,259,0,21.0,0.7241379310344828,5.797992631996863,6,108.0,0.30793248050696975,6,108.0
380.0,31,0,2,230,261,0,15.0,0.4838709677419355,7.781187374884269,2,71.0,0.3603247608102365,2,71.0
385.0,34,0,3,234,268,0,27.0,0.7941176470588235,9.099486015470324,3,41.0,0.529320606417489,3,41.0
390.0,31,0,3,239,270,0,5.0,0.16129032258064516,8.039720857186834,3,21.0,0.4730692252419689,3,21.0
395.0,29,0,7,245,274,0,30.0,1.0344827586206897,6.653893169667898,7,40.0,0.29429248519537365,7,40.0
400.0,29,0,13,247,276,0,82.0,2.8275862068965516,4.555383545335849,13,92.0,0.1446147331733994,13,92.0
405.0,28,0,14,251,279,0,78.0,2.7857142857142856,3.500161282010069,14,129.0,0.1749668880791344,14,129.0
410.0,27,0,8,253,280,0,38.0,1.4074074074074074,4.88921909927069,8,118.0,0.18474023812984092,8,118.0
415.0,31,0,2,253,284,0,17.0,0.5483870967741935,8.015228061856368,2,93.0,0.3837226463557617,2,93.0
420.0,28,0,1,257,285,0,16.0,0.5714285714285714,8.968203504632088,1,57.0,0.46538390775089206,1,57.0
425.0,31,0,2,261,292,0,2.0,0.06451612903225806,9.07138572984711,2,37.0,0.601845003657708,2,37.0
